0Team,1p,xw,3l,6c,5a,xlcn,xwcn,4t,7BP,xPen,2W,8Pts
Stapleford CC,6,4,1,1,0,0,0,0,4,0,4,89
Cam Kerala CC,5,3,1,0,0,0,1,0,7,0,4,87
Elsworth CC,5,3,1,1,0,0,0,0,7,0,3,72
Sawston and Babraham CC,6,2,3,1,0,0,0,0,15,0,2,60
Cambourne CC,5,2,3,0,0,0,0,0,17,0,2,57
Cambridge NCI CC,4,1,3,0,0,0,0,0,16,0,1,36
Bar Hill CC,5,0,3,1,0,1,0,0,10,0,0,15
