0Team,1p,xw,3l,6c,5a,xlcn,xwcn,4t,7BP,xPen,2W,8Pts
Cambridge NCI CC,18,13,2,2,1,0,0,0,16,0,13,291
Madingley CC,18,11,6,1,0,0,0,0,40,0,11,265
Cambourne CC,18,10,7,1,0,0,0,0,43,0,10,248
Cam Kerala CC,18,10,6,2,0,0,0,0,33,0,10,243
Cambridge St. Giles CC,18,9,7,2,0,0,0,0,40,0,9,230
Comberton CC,18,8,8,1,1,0,0,0,53,0,8,223
Harlton CC,18,8,8,2,0,0,0,0,46,0,8,216
Longstowe CC,18,7,8,3,0,0,0,0,41,0,7,196
Milton CC,18,3,13,2,0,0,0,0,70,5,3,135
Bar Hill CC,18,0,14,4,0,0,0,0,64,0,0,84
