0Team,1p,xw,3l,6c,5a,xlcn,xwcn,4t,7BP,xPen,2W,8Pts
Northstowe CC,16,10,3,3,0,0,0,0,16,0,10,231
Cambridge NCI CC,16,9,6,1,0,0,0,0,37,0,9,222
Cambridge St. Giles CC,16,9,2,3,2,0,0,0,14,0,9,219
Cam Kerala CC,16,9,4,2,1,0,0,0,21,0,9,216
Comberton CC,16,5,7,3,0,0,1,0,42,0,6,177
Elsworth CC,16,6,5,4,1,0,0,0,26,0,6,171
Bar Hill CC,16,5,7,3,1,0,0,0,42,0,5,162
Camden CC,16,2,9,3,0,2,0,0,53,0,2,108
Milton CC,16,0,12,2,1,0,1,0,58,0,1,93
