0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"1","","","45","","P","Stimpson","(12)","","J","Neal","(27)","","Comberton","17-Jun",,
"","","","","","","","","","","","","","","",,
"2","","","15","","P","Stockton","(7)","","J","Neal","(15)","","Cambridge St Giles 3","27-May",,
"","","","","","","","","","","","","","","",,
"3","","","27","","J","Neal","(23)","","P","Orvis","(8)","","Cam Kerala 3","26-Aug",,
"","","","","","","","","","","","","","","",,
"4","","","55","","P","Orvis","(4)","","F","Jamal","(34)","","Cam Kerala 3","02-Sep",,
"","","","","","","","","","","","","","","",,
"5","","","27","","P","Orvis","(4)","","J","Marshall-Grint","(30)","","Comberton","24-Jun",,
"","","","","","","","","","","","","","","",,
"6","","","66","","P","Orvis","(58)","","J","Haque","(31)","","Nci 4","29-Jul",,
"","","","","","","","","","","","","","","",,
"7","","","22*","","J","Haque","(36*)","","F","Faleel","(4*)","","Comberton","17-Jun",,
"","","","","","","","","","","","","","","",,
"8","","","25","","P","Orvis","(14)","","J","Marshall-Grint","(29*)","","Northstowe","10-Jun",,
"","","","","","","","","","","","","","","",,
"9","","","19","","F","Faleel","(23*)","","S","Woolf","(8)","","Elsworth","15-Jul",,
"","","","","","","","","","","","","","","",,
"10","","","25*","","J","Marshall-Grint","(29*)","","B","Driver","(8*)","","Northstowe","10-Jun",,
