0,1,2,3,4,5,6,7,8,9,10,11,12,13,
"F","Jamal","10","26.3","3","11","85","9","","5--23","1","3.21","14.45","7.73",
"F","Faleel","5","2","0","1","8","1","","1--8","","4.00","12.00","8.00",
"D","Underhay","5","17","0","7","80","9","1","3--5","","4.71","14.57","11.43",
"J","Marshall-Grint","7","42","5","11","168","10","1","3--23","","4.00","22.91","15.27",
"J","Haque","13","79","14","17","271","14","2","6--18","1","3.43","27.88","15.94",
"J","Neal","10","18","2","4","71","13","1","3--37","","3.94","27.00","17.75",
"P","Orvis","12","73.1","9","16","286","10","3","3--13","","3.91","27.44","17.88",
"A","Dean","8","47.5","6","9","171","12","1","3--31","","3.57","31.89","19.00",
"S","Underhay","5","14","0","4","85","7","2","2--8","","6.07","21.00","21.25",
"B","Driver","12","62.4","8","9","235","8","","2--13","","3.75","41.78","26.11",
"T","Page","6","40","6","6","182","8","5","2--1","","4.55","40.00","30.33",
"M","Haslop","10","12","0","1","82","4","1","1--24","","6.83","72.00","82.00",
"P","Stimpson","11","1","0","0","13","","","0--13","","13.00","-----","-----",
