0Team,1p,xw,3l,6c,5a,xlcn,xwcn,4t,7BP,xPen,2W,8Pts
Cam Kerala CC,14,11,0,0,0,0,3,0,0,0,14,280
Steeple Morden CC,14,8,4,0,0,0,2,0,30,0,10,230
Cottenham CC,14,10,4,0,0,0,0,0,22,0,10,222
Stapleford CC,14,7,6,0,0,1,0,0,34,0,7,174
Camden CC,14,3,6,0,0,2,3,0,35,0,6,155
Bar Hill CC,14,3,9,0,0,1,1,0,60,0,4,140
Milton CC,14,2,10,0,0,1,1,0,46,0,3,106
Over and Willingham CC,14,2,7,0,0,5,0,0,35,0,2,75
