0Team,1p,xw,3l,6c,5a,xlcn,xwcn,4t,7BP,xPen,2W,8Pts
Cambridge St. Giles CC,4,2,0,2,0,0,0,0,28,0,2,78
Cam Kerala CC,4,2,0,2,0,0,0,0,26,0,2,76
Bar Hill CC,4,1,2,1,0,0,0,0,36,0,1,61
Longstowe CC,4,1,2,1,0,0,0,0,35,0,1,60
Cambourne CC,4,1,3,0,0,0,0,0,36,0,1,56
