0Team,1p,xw,3l,6c,5a,xlcn,xwcn,4t,7BP,xPen,2W,8Pts
Sawston and Babraham CC,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Great Shelford CC,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Fen Ditton CC,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Elsworth CC,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Cambridge NCI CC,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Cambourne CC,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Cam Kerala CC,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Bar Hill CC,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
