0Team,1p,xw,3l,6c,5a,xlcn,xwcn,4t,7BP,xPen,2W,8Pts
Bar Hill CC,0,0,0,0,0,0,0,0,0,0,0,0
Cam Kerala CC,0,0,0,0,0,0,0,0,0,0,0,0
Cambourne CC,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge St. Giles CC,0,0,0,0,0,0,0,0,0,0,0,0
Camden CC,0,0,0,0,0,0,0,0,0,0,0,0
Cherry Hinton CC,0,0,0,0,0,0,0,0,0,0,0,0
Comberton CC,0,0,0,0,0,0,0,0,0,0,0,0
Elsworth CC,0,0,0,0,0,0,0,0,0,0,0,0
