"Runscorers 1997-2020"
"League/Cup/Twenty/20 Cup/Other 7/Other 8/Other 9/Other 10"
"Bowling Averages"
""
"","Name","Mch","Ov","Mdn","Wkts","Runs","Best","5-Wkt","Econ","S R","Av",
"L","Barber","6","7","0","2","78","1--15","","11.14","21.00","39.00",
"P","Robinson","5","18","1","2","80","2--21","","4.44","54.00","40.00",
"K","Farooq","3","9","1","1","44","1--34","","4.89","54.00","44.00",
"J","Hill","2","8","1","1","44","1--36","","5.50","48.00","44.00",
"I","Curtis","1","6","0","1","46","1--46","","7.67","36.00","46.00",
"I","Dunk","4","36","6","2","94","2--22","","2.61","108.00","47.00",
"SE","Smith","137","78","3","9","479","2--45","","6.14","52.00","53.22",
"A","Jolley","24","21","1","3","163","1--14","","7.76","42.00","54.33",
"P","Sandford","26","6","0","1","57","1--41","","9.50","36.00","57.00",
"R","Stevens","13","35","2","3","218","1--18","","6.23","70.00","72.67",
"T","Yewbrey","46","15","1","1","94","1--18","","6.27","90.00","94.00",
"M","Neale","6","12","0","0","44","0--10","","3.67","-----","-----",
"P","Andrews","1","9.1","2","0","26","0--26","","2.84","-----","-----",
"P","Stockton","77","8","0","0","72","0--7","","9.00","-----","-----",
"J","Curry","28","8","0","0","84","0--6","","10.50","-----","-----",
"A","Birley","7","7","0","0","40","0--13","","5.71","-----","-----",
"M","Natarajan","2","5","0","0","45","0--12","","9.00","-----","-----",
"A","Afaal","15","3","0","0","18","0--18","","6.00","-----","-----",
"A","Matthews","11","3","0","0","15","0--15","","5.00","-----","-----",
"J","Armit","5","3","0","0","15","0--15","","5.00","-----","-----",
"S","Holden","1","3","0","0","20","0--20","","6.67","-----","-----",
"P","While","1","3","0","0","28","0--28","","9.33","-----","-----",
"D","Cullum","192","2","0","0","22","0--22","","11.00","-----","-----",
"M","Freeman","22","2","0","0","12","0--12","","6.00","-----","-----",
"M","Pope","15","2","0","0","22","0--22","","11.00","-----","-----",
"D","Allsopp","3","2","0","0","15","0--15","","7.50","-----","-----",
"T","Bryant","1","2","0","0","7","0--7","","3.50","-----","-----",
"D","Halls","1","2","0","0","12","0--12","","6.00","-----","-----",
"A","Iqbal","1","2","0","0","12","0--12","","6.00","-----","-----",
"P","Stimpson","172","1","0","0","13","0--13","","13.00","-----","-----",
"P","Howard","87","1","0","0","12","0--12","","12.00","-----","-----",
"S","Connor","9","1","0","0","15","0--15","","15.00","-----","-----",
"K","Hard","8","1","0","0","5","0--5","","5.00","-----","-----",
"R","Swanser","1","1","0","0","7","0--7","","7.00","-----","-----",
"I","Watson","1","1","0","0","11","0--11","","11.00","-----","-----",
"D","Sandham","105","0.3","0","0","8","0--8","","16.00","-----","-----",
"S","Austen","2","0.2","0","0","7","0--7","","21.00","-----","-----",
"","","","","","","","","","","","",
"Sort Criteria:  Average",,
