"A 1989-2018"
"1st XI/2nd XI/3rd XI  League/Cup/Other 1/Other 2/Other 3/Other 4/Other 5/Other 6/Other 7/Other 8/Other 9/Other 10/Other 11/Other 12/ ..."
"Batting Averages"
""
"","Name","Mch","Inn","N O","Runs","H S","100s","50s","6s","4s","Av",
"S","Prosser","23","12","4","52","18*","","","","5","6.50",
"B","Dugan","5","4","1","48","28*","","","","4","16.00",
"S","Underhay","20","15","3","47","15","","","","4","3.92",
"F","Ducker","12","11","1","43","7","","","","","4.30",
"P","Smith","14","9","2","42","14","","","","","6.00",
"M","Stevens","8","7","1","41","15","","","","","6.83",
"T","Moffat","57","29","6","40","8","","","","2","1.74",
"S","Baker","8","8","1","39","11*","","","","2","5.57",
"J","Nayer","6","5","1","39","18","","","","","9.75",
"M","Fuller","1","1","0","39","39","","","","4","39.00",
"I","Blake","14","11","3","33","16","","","","","4.13",
"C","Munday","2","2","0","33","31","","","","5","16.50",
"R","Stevens","13","11","1","31","18*","","","","3","3.10",
"M","Swanser","6","5","2","31","13*","","","","4","10.33",
"R","Daniels","3","3","0","31","17","","","","","10.33",
"A","Curry","15","11","0","29","9","","","","4","2.64",
"B","Simpson","1","1","0","29","29","","","","","29.00",
"A","Stearn","16","11","6","27","13","","","","","5.40",
"A","Bell","8","7","2","27","10","","","","","5.40",
"D","Harrower","9","6","1","25","12","","","","","5.00",
"N","Mahalingam","7","5","0","25","13","","","","2","5.00",
"L","Barber","6","5","0","25","10","","","","2","5.00",
"B","Burrage","5","5","3","25","9","","","","1","12.50",
"J","Human","3","3","0","25","21","","","","3","8.33",
"K","Hard","8","6","0","21","9","","","","3","3.50",
"N","Paxton","11","8","1","20","15","","","","4","2.86",
"L","Bridgewater","6","6","1","20","8","","","","1","4.00",
"S","Martensz","16","12","4","17","5*","","","","","2.13",
"J","Colding","13","11","2","16","7","","","","1","1.78",
"P","Andrews","1","1","0","16","16","","","","3","16.00",
"I","Curtis","1","1","0","16","16","","","","3","16.00",
"D","Halls","1","1","0","16","16","","","","3","16.00",
"D","Dyson","8","7","0","14","5","","","","2","2.00",
"M","Bodell","5","4","0","14","11","","","","1","3.50",
"T","Hugo","1","1","0","14","14","","","","1","14.00",
"A","Iqbal","1","1","0","14","14","","","","1","14.00",
"R","Hulley","2","1","0","13","13","","","","3","13.00",
"S","Marston","5","2","2","12","11","","","","","----",
"J","Bowland","1","1","0","12","12","","","","1","12.00",
"P","Tabbitt","4","3","0","10","6","","","","","3.33",
"N","Warner","8","7","1","9","4","","","","","1.50",
"O","Davies","1","1","0","9","9","","","","","9.00",
"M","Goddard","4","4","0","8","6","","","","","2.00",
"K","Farooq","3","3","0","8","6","","","","1","2.67",
"K","Croxall","1","1","0","8","8","","","","","8.00",
"A","Woolf","2","2","0","7","5","","","","","3.50",
"N","Grover","1","1","1","7","7*","","","","1","----",
"J","Stimpson","20","15","8","5","2","","","","","0.71",
"A","Lee","14","9","1","5","4","","","","1","0.63",
"A","Evans","2","2","0","5","3","","","","","2.50",
"K","Merry","2","1","1","5","5","","","","","----",
"C","Burns","4","2","0","4","2","","","","","2.00",
"N","Fairley","3","2","0","4","4","","","","","2.00",
"J","Sobey","2","2","0","4","3","","","","","2.00",
"P","Wain","2","2","0","4","4","","","","","2.00",
"R","Bragg","1","1","1","4","4*","","","","1","----",
"S","Carnegie","1","1","0","4","4","","","","","4.00",
"S","Friend","1","1","0","4","4","","","","","4.00",
"G","Fuller","1","1","1","4","4","","","","","----",
"T","Humphries","1","1","0","4","4","","","","","4.00",
"I","Harrison","2","2","0","3","2*","","","","","1.50",
"J","Howse","1","1","0","3","3","","","","","3.00",
"R","Lee","1","1","0","3","3","","","","","3.00",
"K","Unwin","1","1","0","3","3","","","","","3.00",
"D","Miller","2","2","0","2","2","","","","","1.00",
"W","Stock","2","2","0","2","2","","","","","1.00",
"J","Hatton","1","1","0","2","2","","","","","2.00",
"S","Waldron","1","1","1","2","2","","","","","----",
"A","Howard","14","12","5","1","1","","","","","0.14",
"M","Neale","6","4","1","1","1*","","","","","0.33",
"J","Burns","4","3","0","1","1","","","","","0.33",
"M","Pluke","3","3","0","1","1","","","","","0.33",
"J","Armit","5","2","0","1","1","","","","","0.50",
"J","Hill","2","2","1","1","1*","","","","","1.00",
"D","Feather","1","1","0","1","1","","","","","1.00",
"I","Hoare","1","1","0","1","1","","","","","1.00",
"SM","Smith","1","1","0","1","1","","","","","1.00",
"N","Thompson","1","1","0","1","1","","","","","1.00",
"E","Young","1","1","1","1","1*","","","","","----",
"M","Afaal","3","2","1","0","0*","","","","","0.00",
"A","Moffat","2","2","0","0","0","","","","","0.00",
"JJ","Wilkins","4","1","0","0","0","","","","","0.00",
"C","Gawthorpe","3","1","0","0","0","","","","","0.00",
"C","Lewis","2","1","0","0","0","","","","","0.00",
"M","Natarajan","2","1","0","0","0","","","","","0.00",
"T","Young","2","1","0","0","0","","","","","0.00",
"A","Andrews","1","1","0","0","0","","","","","0.00",
"T","Bryant","1","1","1","0","0*","","","","","----",
"J","Dickinson","1","1","0","0","0","","","","","0.00",
"J","Gilks","1","1","0","0","0","","","","","0.00",
"S","Holden","1","1","0","0","0","","","","","0.00",
"D","Johnstone","1","1","0","0","0","","","","","0.00",
"S","Jolley","1","1","0","0","0","","","","","0.00",
"P","Moffat","1","1","0","0","0","","","","","0.00",
"P","Nunn","1","1","0","0","0","","","","","0.00",
"G","Plumb","1","1","0","0","0","","","","","0.00",
"M","Smith","1","1","0","0","0","","","","","0.00",
"R","Swanser","1","1","0","0","0","","","","","0.00",
"A","Underhay","1","1","0","0","0","","","","","0.00",
"I","Watson","1","1","0","0","0","","","","","0.00",
"P","While","1","1","0","0","0","","","","","0.00",
"L","Wills","1","1","1","0","0*","","","","","----",
"H","Yagama","1","1","0","0","0","","","","","0.00",
"D","Mutch","3","0","","","","","","","","----",
"S","Austen","2","0","","","","","","","","----",
"J","Panter","2","0","","","","","","","","----",
"M","Sweeney","2","0","","","","","","","","----",
"K","York","2","0","","","","","","","","----",
"A","Attarwala","1","0","","","","","","","","----",
"O","Barnard","1","0","","","","","","","","----",
"S","Connor","1","0","","","","","","","","----",
"C","Lewney","1","0","","","","","","","","----",
"R","Moore","1","0","","","","","","","","----",
"AN","Other","1","0","","","","","","","","----",
"R","Saltmarsh","1","0","","","","","","","","----",
"","","","","","","","","","","","",
"Sort Criteria:  Runs",,
