"A 1989-2018"
"1st XI/2nd XI/3rd XI  League/Cup/Other 1/Other 2/Other 3/Other 4/Other 5/Other 6/Other 7/Other 8/Other 9/Other 10/Other 11/Other 12/ ..."
"Bowling Averages"
""
"","Name","Mch","Balls","Mdn","Wkts","Runs","Best","Av",
"M","Bodell","5","6","0","1","12","1--12","12.00",
"J","Simpson","52","5","0","1","3","1--3","3.00",
"M","Neale","6","72","0","0","44","0--10","-----",
"P","Andrews","1","55","2","0","26","0--26","-----",
"J","Curry","18","48","0","0","84","0--6","-----",
"P","Stockton","67","48","0","0","72","0--7","-----",
"M","Natarajan","2","30","0","0","45","0--12","-----",
"D","Cullum","210","24","0","0","36","0--0","-----",
"A","Afaal","15","18","0","0","18","0--18","-----",
"J","Armit","5","18","0","0","15","0--15","-----",
"S","Holden","1","18","0","0","20","0--20","-----",
"A","Matthews","11","18","0","0","15","0--15","-----",
"M","Stevens","8","18","0","0","17","","-----",
"P","While","1","18","0","0","28","0--28","-----",
"T","Bryant","1","12","0","0","7","0--7","-----",
"M","Freeman","22","12","0","0","12","0--12","-----",
"D","Halls","1","12","0","0","12","0--12","-----",
"A","Iqbal","1","12","0","0","12","0--12","-----",
"M","Smith","1","12","0","0","18","0--18","-----",
"A","Evans","2","6","0","0","10","0--10","-----",
"K","Hard","8","6","0","0","5","0--5","-----",
"P","Howard","85","6","0","0","12","0--12","-----",
"D","Miller","2","6","0","0","9","0--9","-----",
"P","Stimpson","162","6","0","0","13","0--13","-----",
"R","Swanser","1","6","0","0","7","0--7","-----",
"I","Watson","1","6","0","0","11","0--11","-----",
"D","Sandham","205","3","0","0","8","0--8","-----",
"S","Austen","2","2","0","0","7","0--7","-----",
"","","","","","","","","",
"Sort Criteria:  Wickets",,
