0,1,2,3,4,5,6,7,8
Bassingbourn CC,16,13,2,0,1,0,12,277
Bottisham-Lode CC,16,12,4,0,0,0,24,264
Histon CC,16,10,5,0,1,0,38,243
Madingley CC,16,8,7,0,1,0,46,211
Newton CC,16,8,8,0,0,0,42,202
Milton CC,16,7,7,1,1,0,45,197
Haslingfield CC,16,5,9,1,1,0,68,180
Cambridge St. Giles CC,16,4,11,0,1,0,63,148
Bar Hill CC,16,1,15,0,0,0,55,75
